"accession","anon.name","GroupAt1_Ngrps298","GroupAt1.5_Ngrps209","GroupAt2_Ngrps165","GroupAt2.5_Ngrps132","GroupAt3_Ngrps104","GroupAt3.5_Ngrps74","GroupAt4_Ngrps60","GroupAt5_Ngrps49","GroupAt6_Ngrps42","GroupAt7_Ngrps37","GroupAt8_Ngrps29","GroupAt9_Ngrps16","GroupAt10_Ngrps16"
"Adi-11","BR02B02","G092","G070","G054","G038","G032","G015","G015","G010","G010","G010","G010","G008","G008"
"Adi-13","BR02B03","G028","G022","G013","G012","G007","G006","G006","G006","G006","G006","G006","G006","G006"
"Adi-14","BR02B04","G087","G065","G049","G036","G030","G014","G014","G009","G009","G009","G009","G008","G008"
"Adi-15","BR02B05","G027","G021","G012","G011","G006","G006","G006","G006","G006","G006","G006","G006","G006"
"Adi-16","BR02B06","G113","G086","G064","G044","G038","G020","G019","G014","G012","G011","G011","G009","G009"
"Adi-17","BR02B07","G009","G006","G004","G004","G003","G003","G003","G003","G003","G003","G003","G003","G003"
"Adi-18","BR02B08","G087","G065","G049","G036","G030","G014","G014","G009","G009","G009","G009","G008","G008"
"Arn1018","BR02B09","G239","G172","G134","G102","G086","G056","G042","G036","G031","G026","G026","G014","G014"
"Bar1020","BR02B10","G229","G165","G129","G097","G083","G054","G040","G034","G029","G025","G025","G014","G014"
"Bd2-3","BR02B11","G159","G118","G094","G066","G059","G034","G021","G016","G014","G013","G013","G011","G011"
"Bd3-1","BR02B12","G165","G121","G096","G068","G061","G036","G023","G018","G016","G015","G015","G013","G013"
"Bd18-1","BR02C01","G163","G120","G095","G067","G060","G035","G022","G017","G015","G014","G014","G012","G012"
"Bd21","BR02C02","G170","G124","G098","G070","G062","G037","G024","G019","G016","G015","G015","G013","G013"
"Bd21-3","BR02C03","G173","G126","G100","G072","G063","G038","G025","G020","G016","G015","G015","G013","G013"
"Bd29-1","BR02C04","G278","G200","G157","G124","G098","G068","G054","G043","G036","G031","G029","G016","G016"
"Bd30-1","BR02C05","G188","G137","G110","G081","G070","G044","G030","G025","G021","G020","G020","G014","G014"
"BdTR1a","BR02C06","G058","G046","G034","G030","G025","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR1b","BR02C07","G106","G079","G060","G040","G034","G016","G016","G011","G011","G010","G010","G008","G008"
"BdTR1c","BR02C08","G056","G044","G032","G029","G024","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR1d","BR02C09","G058","G046","G034","G030","G025","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR1e","BR02C10","G048","G037","G025","G023","G018","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR1f","BR02C11","G063","G048","G035","G030","G025","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR1g","BR02C12","G052","G041","G029","G027","G022","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR1h","BR02D01","G063","G048","G035","G030","G025","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR1i","BR02D02","G073","G055","G039","G031","G026","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR1j","BR02D03","G064","G049","G036","G030","G025","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR1k","BR02D04","G008","G006","G004","G004","G003","G003","G003","G003","G003","G003","G003","G003","G003"
"BdTR1m","BR02D05","G065","G050","G037","G030","G025","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR1n","BR02D06","G068","G051","G038","G030","G025","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR2a","BR02D07","G062","G048","G035","G030","G025","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR2c","BR02D09","G071","G054","G039","G031","G026","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR2d","BR02D10","G065","G050","G037","G030","G025","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR2e","BR02D11","G066","G051","G038","G030","G025","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR2g","BR02E01","G057","G045","G033","G030","G025","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR2h","BR02E02","G051","G040","G028","G026","G021","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR2i","BR02E03","G060","G047","G034","G030","G025","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR2j","BR02E04","G127","G097","G073","G048","G041","G022","G020","G015","G013","G012","G012","G010","G010"
"BdTR2k","BR02E05","G046","G036","G024","G022","G017","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR2n","BR02E07","G064","G049","G036","G030","G025","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR2o","BR02E08","G072","G055","G039","G031","G026","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR2p","BR02E09","G056","G044","G032","G029","G024","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR2r","BR02E10","G054","G043","G031","G029","G024","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR2s","BR02E11","G053","G042","G030","G028","G023","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR3a","BR02E12","G136","G105","G081","G056","G049","G030","G020","G015","G013","G012","G012","G010","G010"
"BdTR3b","BR02F01","G146","G110","G086","G060","G053","G033","G020","G015","G013","G012","G012","G010","G010"
"BdTR3c","BR02F02","G125","G096","G072","G047","G040","G021","G020","G015","G013","G012","G012","G010","G010"
"BdTR3d","BR02F03","G126","G096","G072","G047","G040","G021","G020","G015","G013","G012","G012","G010","G010"
"BdTR3e","BR02F04","G142","G108","G084","G058","G051","G032","G020","G015","G013","G012","G012","G010","G010"
"BdTR3f","BR02F05","G160","G119","G094","G066","G059","G034","G021","G016","G014","G013","G013","G011","G011"
"BdTR3g","BR02F06","G136","G105","G081","G056","G049","G030","G020","G015","G013","G012","G012","G010","G010"
"BdTR3h","BR02F07","G141","G107","G083","G058","G051","G032","G020","G015","G013","G012","G012","G010","G010"
"BdTR3i","BR02F08","G139","G107","G083","G058","G051","G032","G020","G015","G013","G012","G012","G010","G010"
"BdTR3j","BR02F09","G133","G103","G079","G054","G047","G028","G020","G015","G013","G012","G012","G010","G010"
"BdTR3k","BR02F10","G144","G109","G085","G059","G052","G033","G020","G015","G013","G012","G012","G010","G010"
"BdTR3m","BR02F11","G083","G063","G047","G034","G029","G013","G013","G009","G009","G009","G009","G008","G008"
"BdTR3n","BR02F12","G140","G107","G083","G058","G051","G032","G020","G015","G013","G012","G012","G010","G010"
"BdTR3o","BR02G01","G117","G090","G068","G046","G039","G020","G019","G014","G012","G011","G011","G009","G009"
"BdTR3p","BR02G02","G144","G109","G085","G059","G052","G033","G020","G015","G013","G012","G012","G010","G010"
"BdTR3r","BR02G03","G146","G110","G086","G060","G053","G033","G020","G015","G013","G012","G012","G010","G010"
"BdTR3s","BR02G04","G109","G082","G062","G042","G036","G018","G018","G013","G012","G011","G011","G009","G009"
"BdTR3t","BR02G05","G143","G109","G085","G059","G052","G033","G020","G015","G013","G012","G012","G010","G010"
"BdTR5a","BR02G06","G118","G091","G069","G046","G039","G020","G019","G014","G012","G011","G011","G009","G009"
"BdTR5b","BR02G07","G111","G084","G062","G042","G036","G018","G018","G013","G012","G011","G011","G009","G009"
"BdTR5c","BR02G08","G119","G092","G070","G046","G039","G020","G019","G014","G012","G011","G011","G009","G009"
"BdTR5d","BR02G09","G115","G088","G066","G046","G039","G020","G019","G014","G012","G011","G011","G009","G009"
"BdTR5e","BR02G10","G121","G093","G070","G046","G039","G020","G019","G014","G012","G011","G011","G009","G009"
"BdTR5g","BR02G12","G120","G093","G070","G046","G039","G020","G019","G014","G012","G011","G011","G009","G009"
